case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
hidden_10_4t5r5pbn7f,stress_data\r8_random_case_names\cases\hidden_10_4t5r5pbn7f\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_10_4t5r5pbn7f\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_10_4t5r5pbn7f\work\variants\both\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_10_4t5r5pbn7f\work\variants\both\baseline.blif,5268,18,5409,18,5268,18,5478,18,0,0,True,60.796516,16.335407,1.2689,27.973,results_candidate\r8_formal_names_random_case_stress\public30\hidden_10_4t5r5pbn7f\work\logs,both,"clean,inputs,outputs,both",0,0,0
hidden_11_f9yaer5zeq,stress_data\r8_random_case_names\cases\hidden_11_f9yaer5zeq\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_11_f9yaer5zeq\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_11_f9yaer5zeq\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_11_f9yaer5zeq\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.828843,1.506259,0.962932,9.43,results_candidate\r8_formal_names_random_case_stress\public30\hidden_11_f9yaer5zeq\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_12_6ushmyc5kr,stress_data\r8_random_case_names\cases\hidden_12_6ushmyc5kr\input.blif,high_aig_three_round,high_aig_three_round@inputs,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_12_6ushmyc5kr\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_12_6ushmyc5kr\work\variants\inputs\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_12_6ushmyc5kr\work\variants\inputs\baseline.blif,5523,20,5667,20,5523,20,5742,20,0,0,True,64.010807,17.625358,1.150222,28.23,results_candidate\r8_formal_names_random_case_stress\public30\hidden_12_6ushmyc5kr\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_13_jdyh5m82qf,stress_data\r8_random_case_names\cases\hidden_13_jdyh5m82qf\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_13_jdyh5m82qf\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_13_jdyh5m82qf\work\variants\both\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_13_jdyh5m82qf\work\variants\both\baseline.blif,5532,20,5688,20,5532,20,5763,20,0,0,True,64.9218,17.464253,1.121089,28.199,results_candidate\r8_formal_names_random_case_stress\public30\hidden_13_jdyh5m82qf\work\logs,both,"clean,inputs,outputs,both",0,0,0
hidden_14_z9gqqu7qq3,stress_data\r8_random_case_names\cases\hidden_14_z9gqqu7qq3\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_14_z9gqqu7qq3\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_14_z9gqqu7qq3\work\variants\both\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_14_z9gqqu7qq3\work\variants\both\baseline.blif,11001,20,11274,20,11001,20,11367,20,0,0,True,124.075781,34.539777,1.335302,35.059,results_candidate\r8_formal_names_random_case_stress\public30\hidden_14_z9gqqu7qq3\work\logs,both,"clean,inputs,outputs,both",0,0,0
hidden_15_xezqyc56xy,stress_data\r8_random_case_names\cases\hidden_15_xezqyc56xy\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_15_xezqyc56xy\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_15_xezqyc56xy\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_15_xezqyc56xy\work\variants\clean\baseline.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,1.426445,1.6556,1.198083,16.199,results_candidate\r8_formal_names_random_case_stress\public30\hidden_15_xezqyc56xy\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_16_jfdhuzfc2b,stress_data\r8_random_case_names\cases\hidden_16_jfdhuzfc2b\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_16_jfdhuzfc2b\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_16_jfdhuzfc2b\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_16_jfdhuzfc2b\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,1.791891,2.110647,1.918188,14.832,results_candidate\r8_formal_names_random_case_stress\public30\hidden_16_jfdhuzfc2b\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_17_9dzyvumb86,stress_data\r8_random_case_names\cases\hidden_17_9dzyvumb86\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_17_9dzyvumb86\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_17_9dzyvumb86\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_17_9dzyvumb86\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,2.064594,1.604121,1.531001,9.324,results_candidate\r8_formal_names_random_case_stress\public30\hidden_17_9dzyvumb86\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_18_vrnkqn5swx,stress_data\r8_random_case_names\cases\hidden_18_vrnkqn5swx\input.blif,dc2_fast,dc2_fast@outputs,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_18_vrnkqn5swx\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_18_vrnkqn5swx\work\variants\outputs\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_18_vrnkqn5swx\work\variants\outputs\baseline.blif,1046,10,1064,10,1046,10,1064,32,0,0,True,1.182119,1.693475,1.102582,17.902,results_candidate\r8_formal_names_random_case_stress\public30\hidden_18_vrnkqn5swx\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
hidden_19_artbu4xheu,stress_data\r8_random_case_names\cases\hidden_19_artbu4xheu\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_formal_names_random_case_stress\public30\hidden_19_artbu4xheu\output.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_19_artbu4xheu\work\variants\clean\output.candidate.blif,results_candidate\r8_formal_names_random_case_stress\public30\hidden_19_artbu4xheu\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.986919,1.175843,1.124902,15.094,results_candidate\r8_formal_names_random_case_stress\public30\hidden_19_artbu4xheu\work\logs,clean,"clean,inputs,outputs,both",0,0,0
