case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_21,data\tc_public\tc_public_21\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_21\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_21\output.candidate.blif,results\baseline\tc_public_21\output.blif,5556,20,5685,20,5556,20,5763,20,0,0,True,15.35732179999468,2.046798099996522,0.23782029998255894,27.48046875,results_candidate\r7b_pure_clean\public30\tc_public_21\logs
tc_public_22,data\tc_public\tc_public_22\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_22\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_22\output.candidate.blif,results\baseline\tc_public_22\output.blif,11049,20,11265,20,11049,20,11367,20,0,0,True,31.268571500026155,4.097501999989618,0.3012045999930706,34.91796875,results_candidate\r7b_pure_clean\public30\tc_public_22\logs
tc_public_23,data\tc_public\tc_public_23\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_23\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_23\output.candidate.blif,results\baseline\tc_public_23\output.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,0.3417411000118591,0.16027600000961684,0.22951919998740777,15.92578125,results_candidate\r7b_pure_clean\public30\tc_public_23\logs
tc_public_24,data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_24\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_24\output.candidate.blif,results\baseline\tc_public_24\output.blif,215,8,215,8,215,8,223,15,0,0,True,0.2502980999997817,0.1494626000057906,0.20426629998837598,10.78125,results_candidate\r7b_pure_clean\public30\tc_public_24\logs
tc_public_25,data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_25\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_25\output.candidate.blif,results\baseline\tc_public_25\output.blif,26,4,26,4,26,4,101,14,0,0,True,0.19939560000784695,0.11181719999876805,0.22110070002963766,9.21875,results_candidate\r7b_pure_clean\public30\tc_public_25\logs
tc_public_26,data\tc_public\tc_public_26\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_26\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_26\output.candidate.blif,results\baseline\tc_public_26\output.blif,1048,10,1064,10,1048,10,1064,32,0,0,True,0.28600320001714863,0.18251819998840801,0.23234310001134872,17.85546875,results_candidate\r7b_pure_clean\public30\tc_public_26\logs
tc_public_27,data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_27\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_27\output.candidate.blif,results\baseline\tc_public_27\output.blif,376,7,376,7,376,7,576,20,0,0,True,0.23319939998327754,0.1329218999890145,0.25847289999364875,9.48046875,results_candidate\r7b_pure_clean\public30\tc_public_27\logs
tc_public_28,data\tc_public\tc_public_28\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_28\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_28\output.candidate.blif,results\baseline\tc_public_28\output.blif,520,7,520,7,520,7,576,20,0,0,True,0.2382289000088349,0.15820599999278784,0.32209699996747077,15.078125,results_candidate\r7b_pure_clean\public30\tc_public_28\logs
tc_public_29,data\tc_public\tc_public_29\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_29\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_29\output.candidate.blif,results\baseline\tc_public_29\output.blif,109,7,110,7,109,7,121,8,0,0,True,0.22814290001406334,0.11293920001480728,0.2355251999979373,9.078125,results_candidate\r7b_pure_clean\public30\tc_public_29\logs
tc_public_3,data\tc_public\tc_public_3\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_3\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_3\output.candidate.blif,results\baseline\tc_public_3\output.blif,109,8,150,11,109,8,208,13,0,0,True,0.19191750002210028,0.17658139998093247,0.20515680001699366,9.35546875,results_candidate\r7b_pure_clean\public30\tc_public_3\logs
tc_public_30,data\tc_public\tc_public_30\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_30\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_30\output.candidate.blif,results\baseline\tc_public_30\output.blif,5421,21,9418,22,5421,21,14139,1036,0,0,True,1.8075552000082098,4.39912839999306,0.24555200000759214,34.515625,results_candidate\r7b_pure_clean\public30\tc_public_30\logs
tc_public_4,data\tc_public\tc_public_4\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_4\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_4\output.candidate.blif,results\baseline\tc_public_4\output.blif,69,8,115,9,69,8,145,12,0,0,True,0.1982776000222657,0.18378230000962503,0.2262295000255108,9.33203125,results_candidate\r7b_pure_clean\public30\tc_public_4\logs
tc_public_5,data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_5\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_5\output.candidate.blif,results\baseline\tc_public_5\output.blif,65,2,66,2,65,2,128,2,0,0,True,0.19800000000395812,0.1154091999924276,0.22772409999743104,9.453125,results_candidate\r7b_pure_clean\public30\tc_public_5\logs
tc_public_6,data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_6\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_6\output.candidate.blif,results\baseline\tc_public_6\output.blif,162,4,162,4,162,4,256,5,0,0,True,0.1787727999908384,0.1775999000237789,0.19929180000326596,9.60546875,results_candidate\r7b_pure_clean\public30\tc_public_6\logs
tc_public_7,data\tc_public\tc_public_7\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_7\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_7\output.candidate.blif,results\baseline\tc_public_7\output.blif,252,3,252,3,252,3,252,3,0,0,True,0.18812189999152906,0.16259689998696558,0.2461337000131607,9.65234375,results_candidate\r7b_pure_clean\public30\tc_public_7\logs
tc_public_8,data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_8\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_8\output.candidate.blif,results\baseline\tc_public_8\output.blif,193,3,193,3,193,3,193,3,0,0,True,0.18758729999535717,0.1875331999908667,0.21065510000335053,9.58984375,results_candidate\r7b_pure_clean\public30\tc_public_8\logs
tc_public_9,data\tc_public\tc_public_9\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_pure_clean\public30\tc_public_9\output.blif,results_candidate\r7b_pure_clean\public30\tc_public_9\output.candidate.blif,results\baseline\tc_public_9\output.blif,224,5,224,5,224,5,224,5,0,0,True,0.1906909999961499,0.19160149997333065,0.2109266000043135,9.57421875,results_candidate\r7b_pure_clean\public30\tc_public_9\logs
