case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
tc_public_10,local_data\tc_public\tc_public_10\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_medium_po,selected_candidate,,results_candidate\r11s_release_smoke\tc_public_10\output.blif,results_candidate\r11s_release_smoke\tc_public_10\work\variants\clean\output.candidate.blif,results_candidate\r11s_release_smoke\tc_public_10\work\variants\clean\baseline.blif,101,4,161,4,101,4,192,5,0,0,True,4.954188,0.91974,0.946938,0.0,results_candidate\r11s_release_smoke\tc_public_10\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_12,local_data\tc_public\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r11s_release_smoke\tc_public_12\output.blif,results_candidate\r11s_release_smoke\tc_public_12\work\variants\clean\output.candidate.blif,results_candidate\r11s_release_smoke\tc_public_12\work\variants\clean\baseline.blif,1370,14,1407,13,1370,14,1482,15,0,0,True,1.127269,1.457525,1.028826,0.0,results_candidate\r11s_release_smoke\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_14,local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r11s_release_smoke\tc_public_14\output.blif,results_candidate\r11s_release_smoke\tc_public_14\work\variants\outputs\output.candidate.blif,results_candidate\r11s_release_smoke\tc_public_14\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.796008,2.263455,0.98592,0.0,results_candidate\r11s_release_smoke\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
tc_public_22,local_data\tc_public\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_release_smoke\tc_public_22\output.blif,results_candidate\r11s_release_smoke\tc_public_22\work\variants\both\output.candidate.blif,results_candidate\r11s_release_smoke\tc_public_22\work\variants\both\baseline.blif,10740,20,11274,20,10740,20,11367,20,0,0,True,84.268885,23.099399,1.22236,0.0,results_candidate\r11s_release_smoke\tc_public_22\work\logs,both,"clean,inputs,outputs,both",0,0,0
