case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
tc_public_19,stress_data\r11s_port_name_stress\cases\tc_public_19\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_19\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_19\work\variants\inputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_19\work\variants\inputs\baseline.blif,5184,18,5403,18,5184,18,5478,18,0,0,True,44.340967,11.087266,1.08908,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_19\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_2,stress_data\r11s_port_name_stress\cases\tc_public_2\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_2\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_2\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_2\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.692297,1.464299,0.940209,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_2\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_20,stress_data\r11s_port_name_stress\cases\tc_public_20\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_20\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_20\work\variants\inputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_20\work\variants\inputs\baseline.blif,5445,20,5667,20,5445,20,5742,20,0,0,True,50.154072,12.628683,1.062907,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_20\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_21,stress_data\r11s_port_name_stress\cases\tc_public_21\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_21\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_21\work\variants\inputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_21\work\variants\inputs\baseline.blif,5448,20,5688,20,5448,20,5763,20,0,0,True,49.484971,12.800112,1.08763,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_21\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_22,stress_data\r11s_port_name_stress\cases\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_22\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_22\work\variants\both\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_22\work\variants\both\baseline.blif,10740,20,11274,20,10740,20,11367,20,0,0,True,84.022839,22.62676,1.296565,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_22\work\logs,both,"clean,inputs,outputs,both",0,0,0
tc_public_23,stress_data\r11s_port_name_stress\cases\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_23\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_23\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_23\work\variants\clean\baseline.blif,1458,14,1530,16,1458,14,1530,263,0,0,True,27.55345,1.591584,1.028292,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_23\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_24,stress_data\r11s_port_name_stress\cases\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_24\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_24\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_24\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.83626,1.019731,0.950176,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_24\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_25,stress_data\r11s_port_name_stress\cases\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_25\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_25\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_25\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.798946,0.912753,0.899873,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_25\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_26,stress_data\r11s_port_name_stress\cases\tc_public_26\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@outputs,r11_deepsyn_medium_small_pi_medium_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_26\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_26\work\variants\outputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_26\work\variants\outputs\baseline.blif,1034,10,1064,10,1034,10,1064,32,0,0,True,22.446289,1.789386,0.963011,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_26\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
tc_public_27,stress_data\r11s_port_name_stress\cases\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_27\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_27\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_27\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.897073,1.027442,0.977187,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_27\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_28,stress_data\r11s_port_name_stress\cases\tc_public_28\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_28\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_28\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_28\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,0.978756,1.140926,0.989134,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_29,stress_data\r11s_port_name_stress\cases\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_29\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_29\work\variants\inputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_29\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,5.773436,0.91697,0.942201,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_29\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_3,stress_data\r11s_port_name_stress\cases\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_3\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_3\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_3\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,12.633448,1.507718,0.922452,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_3\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_30,stress_data\r11s_port_name_stress\cases\tc_public_30\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_large_low_pi_small_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_30\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_30\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_30\work\variants\clean\baseline.blif,2853,18,9418,22,2853,18,14139,1036,0,0,True,139.245181,44.476017,0.977886,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_30\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_4,stress_data\r11s_port_name_stress\cases\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_4\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_4\work\variants\inputs\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_4\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,6.461547,1.46711,0.941252,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_4\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_5,stress_data\r11s_port_name_stress\cases\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_5\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_5\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.77482,0.880126,0.947509,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_5\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_6,stress_data\r11s_port_name_stress\cases\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_6\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_6\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.692478,1.531096,0.964077,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_6\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_7,stress_data\r11s_port_name_stress\cases\tc_public_7\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_7\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_7\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_7\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,4.342163,1.512746,0.937746,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_8,stress_data\r11s_port_name_stress\cases\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_8\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_8\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_8\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.670299,1.503181,0.944749,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_8\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_9,stress_data\r11s_port_name_stress\cases\tc_public_9\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,results_candidate\r11s_port_name_stress\public30\tc_public_9\output.blif,results_candidate\r11s_port_name_stress\public30\tc_public_9\work\variants\clean\output.candidate.blif,results_candidate\r11s_port_name_stress\public30\tc_public_9\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,5.697419,1.491285,0.948068,0.0,results_candidate\r11s_port_name_stress\public30\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0,0
