case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_1,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_1\output.blif,results_candidate\r28_release_mt_smoke\tc_public_1\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_1\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,3.555019,0.777132,0.36289,15.0,results_candidate\r28_release_mt_smoke\tc_public_1\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_13,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_13\output.blif,results_candidate\r28_release_mt_smoke\tc_public_13\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_13\work\v5\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.127619,1.907732,0.514215,13.797,results_candidate\r28_release_mt_smoke\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,rejected,r28_r27_mfs_fraig_dc2_bal,,no_node_gain,0,True,False,0,0
tc_public_14,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_14\output.blif,results_candidate\r28_release_mt_smoke\tc_public_14\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_14\work\v5\work\variants\outputs\baseline.blif,2156,16,4478,26,2073,15,6388,29,0,0,True,3.576928,1.147086,0.522124,47.301,results_candidate\r28_release_mt_smoke\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-83,-1
tc_public_15,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_15\output.blif,results_candidate\r28_release_mt_smoke\tc_public_15\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_15\work\v5\work\variants\clean\baseline.blif,922,11,928,10,913,11,931,12,0,0,True,1.225234,0.699637,0.476125,11.879,results_candidate\r28_release_mt_smoke\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0,0,r7b_high_overlap_guarded_fraig,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-9,0
tc_public_26,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_26\output.blif,results_candidate\r28_release_mt_smoke\tc_public_26\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_26\work\v5\work\variants\inputs\baseline.blif,450,10,1064,10,449,10,1064,32,0,0,True,0.860554,0.685923,0.44631,18.125,results_candidate\r28_release_mt_smoke\tc_public_26\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-1,0
tc_public_30,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_large_tiny_pi_small_po_shared,selected_candidate,,results_candidate\r28_release_mt_smoke\tc_public_30\output.blif,results_candidate\r28_release_mt_smoke\tc_public_30\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_smoke\tc_public_30\work\v5\work\variants\inputs\baseline.blif,403,13,9443,22,392,12,14139,1036,0,0,True,1.038947,19.384909,0.453247,30.465,results_candidate\r28_release_mt_smoke\tc_public_30\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-11,-1
