case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
case_gbqic6mlha,data\tc_public_rand_r7b_stress\case_gbqic6mlha\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_gbqic6mlha\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_gbqic6mlha\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_gbqic6mlha\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.849672,0.933273,0.974851,11.234,results_candidate\r8_order_choosebest_singlecase_random\public30\case_gbqic6mlha\work\logs,clean,"clean,inputs,outputs,both",0,0
case_hl7p0063rn,data\tc_public_rand_r7b_stress\case_hl7p0063rn\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_hl7p0063rn\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_hl7p0063rn\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_hl7p0063rn\work\variants\clean\baseline.blif,103,10,142,8,103,10,207,13,0,0,True,0.736338,1.492695,0.971757,9.281,results_candidate\r8_order_choosebest_singlecase_random\public30\case_hl7p0063rn\work\logs,clean,"clean,inputs,outputs,both",0,0
case_i6qsqduet7,data\tc_public_rand_r7b_stress\case_i6qsqduet7\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_i6qsqduet7\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_i6qsqduet7\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_i6qsqduet7\work\variants\clean\baseline.blif,69,8,115,9,69,8,145,12,0,0,True,0.704842,1.46207,0.972326,9.316,results_candidate\r8_order_choosebest_singlecase_random\public30\case_i6qsqduet7\work\logs,clean,"clean,inputs,outputs,both",0,0
case_j0eqkgp8lf,data\tc_public_rand_r7b_stress\case_j0eqkgp8lf\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j0eqkgp8lf\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j0eqkgp8lf\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j0eqkgp8lf\work\variants\clean\baseline.blif,161,4,161,4,161,4,192,5,0,0,True,0.783446,0.942694,0.981083,10.664,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j0eqkgp8lf\work\logs,clean,"clean,inputs,outputs,both",0,0
case_j7dnjet36a,data\tc_public_rand_r7b_stress\case_j7dnjet36a\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j7dnjet36a\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j7dnjet36a\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j7dnjet36a\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.378158,3.783269,0.986837,18.793,results_candidate\r8_order_choosebest_singlecase_random\public30\case_j7dnjet36a\work\logs,clean,"clean,inputs,outputs,both",0,0
case_knyww3m7ta,data\tc_public_rand_r7b_stress\case_knyww3m7ta\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_knyww3m7ta\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_knyww3m7ta\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_knyww3m7ta\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.845838,0.935133,1.007982,9.211,results_candidate\r8_order_choosebest_singlecase_random\public30\case_knyww3m7ta\work\logs,clean,"clean,inputs,outputs,both",0,0
case_o1v95jw2yn,data\tc_public_rand_r7b_stress\case_o1v95jw2yn\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_o1v95jw2yn\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_o1v95jw2yn\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_o1v95jw2yn\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,0.996372,1.124769,0.961075,17.199,results_candidate\r8_order_choosebest_singlecase_random\public30\case_o1v95jw2yn\work\logs,clean,"clean,inputs,outputs,both",0,0
case_ofbkzi81pj,data\tc_public_rand_r7b_stress\case_ofbkzi81pj\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_ofbkzi81pj\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_ofbkzi81pj\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_ofbkzi81pj\work\variants\both\baseline.blif,11001,20,11274,20,11001,20,11367,20,0,0,True,120.453146,33.160762,1.365969,35.105,results_candidate\r8_order_choosebest_singlecase_random\public30\case_ofbkzi81pj\work\logs,both,"clean,inputs,outputs,both",0,0
case_plzua5wike,data\tc_public_rand_r7b_stress\case_plzua5wike\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_plzua5wike\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_plzua5wike\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_plzua5wike\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.26881,1.507459,0.986318,17.848,results_candidate\r8_order_choosebest_singlecase_random\public30\case_plzua5wike\work\logs,clean,"clean,inputs,outputs,both",0,0
case_pu0lm11810,data\tc_public_rand_r7b_stress\case_pu0lm11810\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pu0lm11810\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pu0lm11810\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pu0lm11810\work\variants\clean\baseline.blif,224,5,224,5,224,5,224,5,0,0,True,0.732661,1.523129,0.957539,11.66,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pu0lm11810\work\logs,clean,"clean,inputs,outputs,both",0,0
