case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
tc_public_1,data\tc_public_portname_r7b_stress\tc_public_1\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_1\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_1\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_1\work\variants\clean\baseline.blif,103,10,142,8,103,10,207,13,0,0,True,0.729924,1.618884,1.013204,9.281,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_1\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_10,data\tc_public_portname_r7b_stress\tc_public_10\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_10\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_10\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_10\work\variants\clean\baseline.blif,161,4,161,4,161,4,192,5,0,0,True,0.874993,0.98312,0.961798,10.992,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_10\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_11,data\tc_public_portname_r7b_stress\tc_public_11\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_11\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_11\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_11\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.956897,1.211216,0.99886,17.977,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_11\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_12,data\tc_public_portname_r7b_stress\tc_public_12\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_12\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_12\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_12\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.074737,1.470611,1.105413,18.57,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_13,data\tc_public_portname_r7b_stress\tc_public_13\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_13\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_13\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_13\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.374346,3.910968,1.00397,19.387,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_13\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_14,data\tc_public_portname_r7b_stress\tc_public_14\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_14\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_14\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_14\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.892412,2.58183,1.073721,52.023,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_14\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_15,data\tc_public_portname_r7b_stress\tc_public_15\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_15\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_15\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_15\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.439839,1.594518,1.03591,17.91,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_15\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_16,data\tc_public_portname_r7b_stress\tc_public_16\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_16\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_16\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_16\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.771427,0.924109,0.922624,9.051,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_16\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_17,data\tc_public_portname_r7b_stress\tc_public_17\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_17\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_17\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_17\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.864411,0.9277,0.953838,13.719,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_17\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_18,data\tc_public_portname_r7b_stress\tc_public_18\input.blif,dc2_fast,dc2_fast@inputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_18\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_18\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_18\work\variants\inputs\baseline.blif,495,12,522,12,495,12,525,12,0,0,True,4.530852,2.884175,1.071244,18.07,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_18\work\logs,inputs,"clean,inputs,outputs,both",0,0
