case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
tc_public_23,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_medium_tiny_po,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_23\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_23\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_23\work\variants\clean\baseline.blif,1458,14,1530,16,1458,14,1530,263,0,0,True,25.558234,1.633842,1.020972,20.523,results_release\r25d_formal_entry\full_public_v1\tc_public_23\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_24,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_24\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_24\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_24\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.889483,1.004291,0.947446,14.469,results_release\r25d_formal_entry\full_public_v1\tc_public_24\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_25,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_25\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_25\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_25\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.796012,1.006758,1.044647,10.742,results_release\r25d_formal_entry\full_public_v1\tc_public_25\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_26,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_26\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_26\work\variants\inputs\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_26\work\variants\inputs\baseline.blif,450,10,1064,10,450,10,1064,32,0,0,True,1.068988,1.285593,0.935322,21.066,results_release\r25d_formal_entry\full_public_v1\tc_public_26\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_27,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_27\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_27\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_27\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.949292,0.976378,0.917706,15.0,results_release\r25d_formal_entry\full_public_v1\tc_public_27\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_28,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_28\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@clean,r25_dsd_small_small_pi_small_po_shared_dup,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_28\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_28\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_28\work\variants\clean\baseline.blif,258,8,520,7,258,8,576,20,0,0,True,0.984486,1.030836,0.914993,27.527,results_release\r25d_formal_entry\full_public_v1\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_29,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_29\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_29\work\variants\inputs\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_29\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,5.349615,0.956457,0.918886,20.902,results_release\r25d_formal_entry\full_public_v1\tc_public_29\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_3,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_3\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_3\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_3\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,12.478239,1.525686,0.92299,24.512,results_release\r25d_formal_entry\full_public_v1\tc_public_3\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_30,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_30\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs,r25_dsd_large_tiny_pi_small_po_shared,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_30\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_30\work\variants\inputs\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_30\work\variants\inputs\baseline.blif,403,13,9443,22,403,13,14139,1036,0,0,True,1.31459,58.620735,0.90755,38.035,results_release\r25d_formal_entry\full_public_v1\tc_public_30\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_4,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_4\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_4\work\variants\inputs\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_4\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,6.868297,1.454712,0.855546,24.293,results_release\r25d_formal_entry\full_public_v1\tc_public_4\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_5,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_5\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_5\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.88222,0.97113,0.930703,11.176,results_release\r25d_formal_entry\full_public_v1\tc_public_5\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_6,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_6\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_6\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.712072,1.498462,0.931568,11.664,results_release\r25d_formal_entry\full_public_v1\tc_public_6\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_7,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_7\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_7\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_7\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_7\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,4.227141,1.456841,0.905521,21.09,results_release\r25d_formal_entry\full_public_v1\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_8,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_8\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_8\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_8\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.719397,1.42347,0.882897,9.609,results_release\r25d_formal_entry\full_public_v1\tc_public_8\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_9,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_9\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,results_release\r25d_formal_entry\full_public_v1\tc_public_9\output.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_9\work\variants\clean\output.candidate.blif,results_release\r25d_formal_entry\full_public_v1\tc_public_9\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,5.508748,1.491279,0.883902,20.883,results_release\r25d_formal_entry\full_public_v1\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0,0
