case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6,r30b_postpass_gate,r30b_postpass_status,r30b_postpass,r30b_postpass_accepted,r30b_postpass_reject_reason,r30b_postpass_opt_returncode,r30b_postpass_cec_pass,r30b_postpass_opt_error,r30b_node_delta_vs_v7,r30b_level_delta_vs_v7,r30b_profile_runtime_sec,r30b_profile_status,r30b_profile_skip_reason,r30b_cluster_bucket,r30b_cluster_potential_score,r30b_high_overlap_pairs,r30b_largest_cluster_size,r30b_po_count,r30b_node_count
tc_public_19,results_candidate\r30b_release_stress\port_order_cases\tc_public_19\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_19\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_19\work\v7\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_19\work\v7\work\v6\work\v5\work\variants\both\baseline.blif,5196,18,5403,18,5139,18,5478,18,0,0,True,10.530984,6.914586,0.658347,21.238,results_candidate\r30b_release_stress\port_order_public30\tc_public_19\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-45,0,huge_highlevel_low_overlap,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-12,0,0.017279,ok,,cluster_none,24.179383,0,0,11,5151
tc_public_2,results_candidate\r30b_release_stress\port_order_cases\tc_public_2\input.blif,sop_fx,baseline@inputs,tiny_high_fanin_sop,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_2\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_2\work\v7\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_2\work\v7\work\v6\work\v5\work\variants\inputs\baseline.blif,19,4,18,4,18,4,34,6,0,0,True,0.379199,0.802776,0.481605,7.461,results_candidate\r30b_release_stress\port_order_public30\tc_public_2\work\v7\work\v6\work\v5\work\logs,inputs,"clean,inputs,outputs,both",2,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001218,ok,,cluster_none,25.333333,0,0,5,18
tc_public_20,results_candidate\r30b_release_stress\port_order_cases\tc_public_20\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@outputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_20\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_20\work\v7\work\v6\work\v5\work\variants\outputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_20\work\v7\work\v6\work\v5\work\variants\outputs\baseline.blif,5430,20,5667,20,5373,20,5742,20,0,0,True,11.172147,8.671019,0.685497,22.398,results_candidate\r30b_release_stress\port_order_public30\tc_public_20\work\logs,outputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-39,0,huge_highlevel_low_overlap,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-18,0,0.013347,ok,,cluster_none,24.249304,0,0,11,5391
tc_public_21,results_candidate\r30b_release_stress\port_order_cases\tc_public_21\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_21\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_21\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_21\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,5466,20,5694,20,5424,20,5763,20,0,0,True,11.26616,8.613402,0.695566,22.246,results_candidate\r30b_release_stress\port_order_public30\tc_public_21\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-30,0,huge_highlevel_low_overlap,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-12,0,0.01823,ok,,cluster_none,24.081678,0,0,11,5436
tc_public_22,results_candidate\r30b_release_stress\port_order_cases\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs+r29_mfs_strash_dc2_rwz_bal+r30b_odc_resub_f1,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_22\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_22\work\v7\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_22\work\v7\work\v6\work\v5\work\variants\inputs\baseline.blif,10716,20,11268,20,10623,20,11367,20,0,0,True,20.556248,14.443041,0.847752,29.348,results_candidate\r30b_release_stress\port_order_public30\tc_public_22\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,large_smallpo_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-51,0,huge_highlevel_low_overlap,accepted,r30b_odc_resub_f1,r30b_odc_resub_f1,,0,True,False,-42,0,0.026666,ok,,cluster_none,26.721800,0,0,12,10665
tc_public_23,results_candidate\r30b_release_stress\port_order_cases\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_23\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_23\work\v7\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_23\work\v7\work\v6\work\v5\work\variants\inputs\baseline.blif,1330,13,1530,16,1330,13,1530,263,0,0,True,23.661347,0.782593,0.542272,13.664,results_candidate\r30b_release_stress\port_order_public30\tc_public_23\work\v7\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,r11_deepsyn_medium_tiny_po,rejected,r29_mfs_strash_dc2_rwz_bal,,level_regression,0,True,False,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.009252,ok,,cluster_none,19.975940,0,0,2,1330
tc_public_24,results_candidate\r30b_release_stress\port_order_cases\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_24\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_24\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_24\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.388849,0.387113,0.430481,7.434,results_candidate\r30b_release_stress\port_order_public30\tc_public_24\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.010238,ok,,cluster_high,100.000000,36,8,9,215
tc_public_25,results_candidate\r30b_release_stress\port_order_cases\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_25\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_25\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_25\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,26,6,29,4,26,6,101,14,0,0,True,0.378915,0.36013,0.379399,7.434,results_candidate\r30b_release_stress\port_order_public30\tc_public_25\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.00122,ok,,cluster_none,38.153846,0,0,9,26
tc_public_26,results_candidate\r30b_release_stress\port_order_cases\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_26\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_26\work\v7\work\v6\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_26\work\v7\work\v6\work\v5\work\variants\inputs\baseline.blif,460,10,1064,10,448,10,1064,32,0,0,True,0.846048,0.639948,0.514159,18.012,results_candidate\r30b_release_stress\port_order_public30\tc_public_26\work\v7\work\v6\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-12,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.010742,ok,,cluster_high,100.000000,128,8,32,448
tc_public_27,results_candidate\r30b_release_stress\port_order_cases\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_27\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_27\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_27\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.425587,0.38942,0.41117,7.707,results_candidate\r30b_release_stress\port_order_public30\tc_public_27\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.011324,ok,,cluster_high,100.000000,28,8,16,376
tc_public_28,results_candidate\r30b_release_stress\port_order_cases\tc_public_28\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@clean,r25_dsd_small_small_pi_small_po_shared_dup,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_28\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_28\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_28\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,258,8,520,7,258,8,576,20,0,0,True,0.698794,0.428224,0.496732,28.75,results_candidate\r30b_release_stress\port_order_public30\tc_public_28\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.00974,ok,,cluster_high,100.000000,36,8,16,258
tc_public_29,results_candidate\r30b_release_stress\port_order_cases\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_29\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_29\work\v7\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_29\work\v7\work\v6\work\v5\work\variants\clean\baseline.blif,99,5,119,6,99,5,121,8,0,0,True,1.602706,0.373479,0.43128,12.102,results_candidate\r30b_release_stress\port_order_public30\tc_public_29\work\v7\work\v6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001542,ok,,cluster_none,21.616162,0,0,16,99
tc_public_3,results_candidate\r30b_release_stress\port_order_cases\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r30b_release_stress\port_order_public30\tc_public_3\output.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_3\work\v7\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r30b_release_stress\port_order_public30\tc_public_3\work\v7\work\v6\work\v5\work\variants\both\baseline.blif,92,8,162,11,92,8,208,13,0,0,True,3.628211,0.786467,0.414535,14.57,results_candidate\r30b_release_stress\port_order_public30\tc_public_3\work\v7\work\v6\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r30b_odc_resub_f1,,gate_not_matched,,,,0,0,0.001682,ok,,cluster_low,82.558596,1,2,8,92
