case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_21,data\tc_public_portname_r7b_stress\tc_public_21\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_21\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_21\output.candidate.blif,results\baseline\tc_public_21\output.blif,5556,20,,,5556,20,5763,20,0,0,True,23.573472699994454,4.6969175999984145,0.32979739998700097,27.671875,results_candidate\r7b_port_name_stress\public30\tc_public_21\logs
tc_public_22,data\tc_public_portname_r7b_stress\tc_public_22\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_22\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_22\output.candidate.blif,results\baseline\tc_public_22\output.blif,11049,20,,,11049,20,11367,20,0,0,True,41.890540899999905,6.040445099992212,0.5503496999735944,34.83984375,results_candidate\r7b_port_name_stress\public30\tc_public_22\logs
tc_public_23,data\tc_public_portname_r7b_stress\tc_public_23\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_23\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_23\output.candidate.blif,results\baseline\tc_public_23\output.blif,1530,16,,,1530,16,1530,263,0,0,True,0.5717289000167511,0.23466709998319857,0.3606193000159692,15.98046875,results_candidate\r7b_port_name_stress\public30\tc_public_23\logs
tc_public_24,data\tc_public_portname_r7b_stress\tc_public_24\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_24\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_24\output.candidate.blif,results\baseline\tc_public_24\output.blif,215,8,,,215,8,223,15,0,0,True,0.3330775999929756,0.21961210001609288,0.3596178999869153,14.4921875,results_candidate\r7b_port_name_stress\public30\tc_public_24\logs
tc_public_25,data\tc_public_portname_r7b_stress\tc_public_25\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_25\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_25\output.candidate.blif,results\baseline\tc_public_25\output.blif,26,4,,,26,4,101,14,0,0,True,0.43913630000315607,0.13061720001860522,0.21967169997515157,9.2109375,results_candidate\r7b_port_name_stress\public30\tc_public_25\logs
tc_public_26,data\tc_public_portname_r7b_stress\tc_public_26\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_26\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_26\output.candidate.blif,results\baseline\tc_public_26\output.blif,1048,10,,,1048,10,1064,32,0,0,True,0.35263779998058453,0.23206130001926795,0.2168420999951195,17.97265625,results_candidate\r7b_port_name_stress\public30\tc_public_26\logs
tc_public_27,data\tc_public_portname_r7b_stress\tc_public_27\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_27\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_27\output.candidate.blif,results\baseline\tc_public_27\output.blif,376,7,,,376,7,576,20,0,0,True,0.2541753000114113,0.14631310000550002,0.2861793000192847,11.0546875,results_candidate\r7b_port_name_stress\public30\tc_public_27\logs
tc_public_28,data\tc_public_portname_r7b_stress\tc_public_28\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_28\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_28\output.candidate.blif,results\baseline\tc_public_28\output.blif,520,7,,,520,7,576,20,0,0,True,0.4193527000024915,0.22642259998247027,0.3515500999928918,12.40234375,results_candidate\r7b_port_name_stress\public30\tc_public_28\logs
tc_public_29,data\tc_public_portname_r7b_stress\tc_public_29\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_29\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_29\output.candidate.blif,results\baseline\tc_public_29\output.blif,109,7,,,109,7,121,8,0,0,True,0.2872678999847267,0.18990009999834,0.34236890001920983,9.81640625,results_candidate\r7b_port_name_stress\public30\tc_public_29\logs
tc_public_3,data\tc_public_portname_r7b_stress\tc_public_3\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_3\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_3\output.candidate.blif,results\baseline\tc_public_3\output.blif,109,8,,,109,8,208,13,0,0,True,0.3888901000027545,0.31145830001332797,0.30953410000074655,9.328125,results_candidate\r7b_port_name_stress\public30\tc_public_3\logs
tc_public_30,data\tc_public_portname_r7b_stress\tc_public_30\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_30\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_30\output.candidate.blif,results\baseline\tc_public_30\output.blif,5421,21,,,5421,21,14139,1036,0,0,True,2.843151899985969,7.333585999993375,0.5289515000185929,34.54296875,results_candidate\r7b_port_name_stress\public30\tc_public_30\logs
tc_public_4,data\tc_public_portname_r7b_stress\tc_public_4\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_4\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_4\output.candidate.blif,results\baseline\tc_public_4\output.blif,69,8,,,69,8,145,12,0,0,True,0.24879209999926388,0.21988600000622682,0.24775080001563765,9.32421875,results_candidate\r7b_port_name_stress\public30\tc_public_4\logs
tc_public_5,data\tc_public_portname_r7b_stress\tc_public_5\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_5\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_5\output.candidate.blif,results\baseline\tc_public_5\output.blif,65,2,,,65,2,128,2,0,0,True,0.20025279998662882,0.15169829997466877,0.24310279995552264,11.109375,results_candidate\r7b_port_name_stress\public30\tc_public_5\logs
tc_public_6,data\tc_public_portname_r7b_stress\tc_public_6\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_6\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_6\output.candidate.blif,results\baseline\tc_public_6\output.blif,162,4,,,162,4,256,5,0,0,True,0.35140290000708774,0.35699729999760166,0.3595607999886852,9.58203125,results_candidate\r7b_port_name_stress\public30\tc_public_6\logs
tc_public_7,data\tc_public_portname_r7b_stress\tc_public_7\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_7\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_7\output.candidate.blif,results\baseline\tc_public_7\output.blif,252,3,,,252,3,252,3,0,0,True,0.3260968000104185,0.32742429999052547,0.4017738999973517,9.66796875,results_candidate\r7b_port_name_stress\public30\tc_public_7\logs
tc_public_8,data\tc_public_portname_r7b_stress\tc_public_8\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_8\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_8\output.candidate.blif,results\baseline\tc_public_8\output.blif,193,3,,,193,3,193,3,0,0,True,0.33427650001249276,0.30825699999695644,0.45901630001026206,9.640625,results_candidate\r7b_port_name_stress\public30\tc_public_8\logs
tc_public_9,data\tc_public_portname_r7b_stress\tc_public_9\input.blif,sop_fx,sop_fx,selected_candidate,,results_candidate\r7b_port_name_stress\public30\tc_public_9\output.blif,results_candidate\r7b_port_name_stress\public30\tc_public_9\output.candidate.blif,results\baseline\tc_public_9\output.blif,224,5,,,224,5,224,5,0,0,True,0.3780779000080656,0.28448949998710304,0.29998519996297546,9.58203125,results_candidate\r7b_port_name_stress\public30\tc_public_9\logs
