case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
anon_021,data\tc_public_anon_r7b_stress\anon_021\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_021\output.blif,results_candidate\r7b_anon_stress\public30\anon_021\output.candidate.blif,results\baseline\anon_021\output.blif,5556,20,5685,20,5556,20,5763,20,0,0,True,15.444412100012414,2.030107800004771,0.25600350002059713,27.45703125,results_candidate\r7b_anon_stress\public30\anon_021\logs
anon_022,data\tc_public_anon_r7b_stress\anon_022\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_022\output.blif,results_candidate\r7b_anon_stress\public30\anon_022\output.candidate.blif,results\baseline\anon_022\output.blif,11049,20,11265,20,11049,20,11367,20,0,0,True,31.12440480000805,4.23200970000471,0.30406439999933355,34.9296875,results_candidate\r7b_anon_stress\public30\anon_022\logs
anon_023,data\tc_public_anon_r7b_stress\anon_023\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_023\output.blif,results_candidate\r7b_anon_stress\public30\anon_023\output.candidate.blif,results\baseline\anon_023\output.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,0.32944930001394823,0.14468970001325943,0.23580399999627843,15.140625,results_candidate\r7b_anon_stress\public30\anon_023\logs
anon_024,data\tc_public_anon_r7b_stress\anon_024\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_024\output.blif,results_candidate\r7b_anon_stress\public30\anon_024\output.candidate.blif,results\baseline\anon_024\output.blif,215,8,215,8,215,8,223,15,0,0,True,0.22233129999949597,0.12162029999308288,0.21667360002174973,10.04296875,results_candidate\r7b_anon_stress\public30\anon_024\logs
anon_025,data\tc_public_anon_r7b_stress\anon_025\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_025\output.blif,results_candidate\r7b_anon_stress\public30\anon_025\output.candidate.blif,results\baseline\anon_025\output.blif,26,4,26,4,26,4,101,14,0,0,True,0.20912319998024032,0.11457099998369813,0.24694799998542294,9.1953125,results_candidate\r7b_anon_stress\public30\anon_025\logs
anon_026,data\tc_public_anon_r7b_stress\anon_026\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_026\output.blif,results_candidate\r7b_anon_stress\public30\anon_026\output.candidate.blif,results\baseline\anon_026\output.blif,1048,10,1064,10,1048,10,1064,32,0,0,True,0.3007876999909058,0.21122019999893382,0.22113229997921735,17.84765625,results_candidate\r7b_anon_stress\public30\anon_026\logs
anon_027,data\tc_public_anon_r7b_stress\anon_027\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_027\output.blif,results_candidate\r7b_anon_stress\public30\anon_027\output.candidate.blif,results\baseline\anon_027\output.blif,376,7,376,7,376,7,576,20,0,0,True,0.24067990001640283,0.1366766999999527,0.21738099999492988,9.48828125,results_candidate\r7b_anon_stress\public30\anon_027\logs
anon_028,data\tc_public_anon_r7b_stress\anon_028\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_028\output.blif,results_candidate\r7b_anon_stress\public30\anon_028\output.candidate.blif,results\baseline\anon_028\output.blif,520,7,520,7,520,7,576,20,0,0,True,0.2437777000013739,0.12841340000159107,0.20588199998019263,10.16796875,results_candidate\r7b_anon_stress\public30\anon_028\logs
anon_029,data\tc_public_anon_r7b_stress\anon_029\input.blif,dc2_fast,dc2_fast,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_029\output.blif,results_candidate\r7b_anon_stress\public30\anon_029\output.candidate.blif,results\baseline\anon_029\output.blif,109,7,110,7,109,7,121,8,0,0,True,0.21666770000592805,0.10652559998561628,0.21777090002433397,9.06640625,results_candidate\r7b_anon_stress\public30\anon_029\logs
anon_030,data\tc_public_anon_r7b_stress\anon_030\input.blif,high_aig_three_round,high_aig_three_round,selected_candidate,,results_candidate\r7b_anon_stress\public30\anon_030\output.blif,results_candidate\r7b_anon_stress\public30\anon_030\output.candidate.blif,results\baseline\anon_030\output.blif,5421,21,9418,22,5421,21,14139,1036,0,0,True,1.8585948999971151,4.401532599993516,0.24546980002196506,34.55859375,results_candidate\r7b_anon_stress\public30\anon_030\logs
