case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5,r29_postpass_gate,r29_postpass_status,r29_postpass,r29_postpass_accepted,r29_postpass_reject_reason,r29_postpass_opt_returncode,r29_postpass_cec_pass,r29_postpass_opt_error,r29_node_delta_vs_v6,r29_level_delta_vs_v6
tc_public_1,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_1\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@both,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r29_entry_smoke\outputs\tc_public_1\output.blif,results_candidate\r29_entry_smoke\outputs\tc_public_1\work\v6\work\v5\work\variants\both\output.candidate.blif,results_candidate\r29_entry_smoke\outputs\tc_public_1\work\v6\work\v5\work\variants\both\baseline.blif,85,8,146,9,85,8,207,13,0,0,True,3.740046,0.813525,0.400358,13.984,results_candidate\r29_entry_smoke\outputs\tc_public_1\work\v6\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,gate_not_matched,skipped,r29_mfs_strash_dc2_rwz_bal,,gate_not_matched,,,,0,0
tc_public_12,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_12\input.blif,r10_medium_fraig_cleanup,r10_medium_fraig_cleanup@clean+r29_mfs_strash_dc2_rwz_bal,medium_runtime_fraig_cleanup,selected_candidate,,results_candidate\r29_entry_smoke\outputs\tc_public_12\output.blif,results_candidate\r29_entry_smoke\outputs\tc_public_12\work\v6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r29_entry_smoke\outputs\tc_public_12\work\v6\work\v5\work\variants\clean\baseline.blif,1370,14,1407,13,1367,14,1482,15,0,0,True,1.463963,0.740188,0.660155,10.305,results_candidate\r29_entry_smoke\outputs\tc_public_12\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0,medium_runtime_fraig_cleanup,accepted,r29_mfs_strash_dc2_rwz_bal,r29_mfs_strash_dc2_rwz_bal,,0,True,False,-3,0
