case,candidate,raw_nodes_delta,selected_nodes_delta,level_delta,runtime_delta,RSS_delta,raw_status,selected_status,fallback_used,fallback_reason,feature_bucket,scale_grade,high_fanin_sop,near_two_input_aig,two_input_ratio_bin,names_bin,cubes_bin,outputs_bin,possible_filter_rule,coarse_rule_avoidable
tc_public_26,choice_fraig_clean,0,0,0,-0.075636,1.066594,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_27,choice_fraig_clean,4,4,1,-0.045244,-0.46525,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_28,choice_fraig_clean,4,4,1,-0.019262,0.956938,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_29,choice_fraig_clean,0,0,0,-0.066076,0.137094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_3,choice_fraig_clean,27,0,0,-0.083882,0.003969,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:27,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_30,choice_fraig_clean,0,0,0,-0.131257,1.785313,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_near_one,large,false,true,two_ratio_near_one,names_large,cubes_large,po_small,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_4,choice_fraig_clean,39,0,1,-0.085735,-0.003469,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:39,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_5,choice_fraig_clean,0,0,0,-0.113527,0.121469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_7,choice_fraig_clean,0,0,0,-0.06227,0.011656,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_low,small,true,false,two_ratio_low,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_8,choice_fraig_clean,-1,-1,1,-0.076903,-0.516125,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_mid,small,true,false,two_ratio_mid,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_1,choice_fraig_ifraig_recover,21,21,-1,-0.05934,0.199188,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_12,choice_fraig_ifraig_recover,-15,-15,1,-0.083441,-1.6675,ok,selected_raw,false,,medium|not_sop|non_aig|two_ratio_mid,medium,false,false,two_ratio_mid,names_medium,cubes_medium,po_large,avoid medium + high_fanin_sop=false + near_two_input_aig=false + two_ratio_mid,False
tc_public_13,choice_fraig_ifraig_recover,0,0,0,-0.041117,0.730625,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_high,small,false,false,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_high,False
tc_public_14,choice_fraig_ifraig_recover,-1432,-1432,-8,0.005565,2.124781,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_very_high,large,false,true,two_ratio_very_high,names_large,cubes_medium,po_medium,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_15,choice_fraig_ifraig_recover,-1,-1,0,-0.076425,0.183375,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_small,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_16,choice_fraig_ifraig_recover,0,0,0,-0.043735,0.285312,ok,selected_raw,false,,tiny|not_sop|non_aig|two_ratio_low,tiny,false,false,two_ratio_low,names_tiny,cubes_tiny,po_tiny,avoid tiny + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_17,choice_fraig_ifraig_recover,0,0,0,-0.039552,0.590156,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_low,small,false,false,two_ratio_low,names_small,cubes_small,po_tiny,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_2,choice_fraig_ifraig_recover,0,0,0,-0.073718,0.000187,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_tiny,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_24,choice_fraig_ifraig_recover,0,0,0,-0.068154,0.129094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_very_high,small,false,true,two_ratio_very_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_25,choice_fraig_ifraig_recover,0,0,0,-0.060739,0.496281,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_26,choice_fraig_ifraig_recover,-12,-12,0,-0.051979,0.703594,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_27,choice_fraig_ifraig_recover,4,4,1,-0.049111,-0.35525,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_28,choice_fraig_ifraig_recover,4,4,1,0.000914,1.101938,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_29,choice_fraig_ifraig_recover,0,0,0,-0.080614,0.707094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_3,choice_fraig_ifraig_recover,15,15,0,-0.089002,0.007969,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_30,choice_fraig_ifraig_recover,734,0,0,-0.199441,-0.163688,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:734,large|not_sop|near_aig|two_ratio_near_one,large,false,true,two_ratio_near_one,names_large,cubes_large,po_small,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_4,choice_fraig_ifraig_recover,37,0,2,-0.107993,-0.015469,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:37,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_7,choice_fraig_ifraig_recover,0,0,0,-0.025154,0.035656,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_low,small,true,false,two_ratio_low,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_8,choice_fraig_ifraig_recover,-1,-1,1,-0.079432,0.030875,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_mid,small,true,false,two_ratio_mid,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_1,choice_ifraig_clean,17,17,-2,-0.071119,0.215188,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_10,choice_ifraig_clean,0,0,0,-0.049704,0.078469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_11,choice_ifraig_clean,0,0,0,-0.041334,0.355406,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_12,choice_ifraig_clean,2,2,1,-0.076131,-1.0275,ok,selected_raw,false,,medium|not_sop|non_aig|two_ratio_mid,medium,false,false,two_ratio_mid,names_medium,cubes_medium,po_large,avoid medium + high_fanin_sop=false + near_two_input_aig=false + two_ratio_mid,False
tc_public_14,choice_ifraig_clean,-1499,-1499,-8,0.039136,-0.535219,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_very_high,large,false,true,two_ratio_very_high,names_large,cubes_medium,po_medium,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_16,choice_ifraig_clean,0,0,0,-0.032816,0.070312,ok,selected_raw,false,,tiny|not_sop|non_aig|two_ratio_low,tiny,false,false,two_ratio_low,names_tiny,cubes_tiny,po_tiny,avoid tiny + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_17,choice_ifraig_clean,0,0,0,-0.078801,0.051156,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_low,small,false,false,two_ratio_low,names_small,cubes_small,po_tiny,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_21,choice_ifraig_clean,0,0,0,-0.115256,0.542938,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_near_one,large,false,true,two_ratio_near_one,names_large,cubes_large,po_small,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_24,choice_ifraig_clean,0,0,0,-0.082019,0.101094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_very_high,small,false,true,two_ratio_very_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_25,choice_ifraig_clean,0,0,0,-0.045786,0.058281,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_26,choice_ifraig_clean,0,0,0,-0.071534,1.081594,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_27,choice_ifraig_clean,4,4,1,-0.043362,-1.34025,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_28,choice_ifraig_clean,4,4,1,-0.004876,0.085938,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_29,choice_ifraig_clean,0,0,0,-0.070816,0.062094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_3,choice_ifraig_clean,27,0,0,-0.055712,0.019969,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:27,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_4,choice_ifraig_clean,39,0,1,-0.104284,-0.015469,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:39,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_7,choice_ifraig_clean,0,0,0,-0.03893,0.023656,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_low,small,true,false,two_ratio_low,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_8,choice_ifraig_clean,-1,-1,1,-0.077489,0.042875,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_mid,small,true,false,two_ratio_mid,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_1,dc2_fraig_cleanup,21,21,-1,-0.092069,0.219188,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_10,dc2_fraig_cleanup,0,0,0,-0.05062,0.132469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_11,dc2_fraig_cleanup,0,0,0,-0.059691,0.937406,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_12,dc2_fraig_cleanup,-15,-15,1,-0.0834,-1.7815,ok,selected_raw,false,,medium|not_sop|non_aig|two_ratio_mid,medium,false,false,two_ratio_mid,names_medium,cubes_medium,po_large,avoid medium + high_fanin_sop=false + near_two_input_aig=false + two_ratio_mid,False
tc_public_13,dc2_fraig_cleanup,0,0,0,-0.04921,0.382625,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_high,small,false,false,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_high,False
tc_public_14,dc2_fraig_cleanup,-1432,-1432,-8,-0.024331,2.073781,ok,selected_raw,false,,large|not_sop|near_aig|two_ratio_very_high,large,false,true,two_ratio_very_high,names_large,cubes_medium,po_medium,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_15,dc2_fraig_cleanup,-1,-1,0,-0.077841,0.523375,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_small,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_16,dc2_fraig_cleanup,0,0,0,-0.02925,0.527313,ok,selected_raw,false,,tiny|not_sop|non_aig|two_ratio_low,tiny,false,false,two_ratio_low,names_tiny,cubes_tiny,po_tiny,avoid tiny + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_17,dc2_fraig_cleanup,0,0,0,-0.073633,0.512156,ok,selected_raw,false,,small|not_sop|non_aig|two_ratio_low,small,false,false,two_ratio_low,names_small,cubes_small,po_tiny,avoid small + high_fanin_sop=false + near_two_input_aig=false + two_ratio_low,False
tc_public_24,dc2_fraig_cleanup,0,0,0,-0.063272,0.590094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_very_high,small,false,true,two_ratio_very_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_very_high,False
tc_public_25,dc2_fraig_cleanup,0,0,0,-0.062103,0.383281,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_26,dc2_fraig_cleanup,-12,-12,0,-0.032361,0.562594,ok,selected_raw,false,,medium|not_sop|near_aig|two_ratio_near_one,medium,false,true,two_ratio_near_one,names_medium,cubes_small,po_medium,avoid medium + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_27,dc2_fraig_cleanup,4,4,1,-0.045237,-1.59025,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_28,dc2_fraig_cleanup,4,4,1,-0.028011,0.108937,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_small,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_29,dc2_fraig_cleanup,0,0,0,-0.057075,0.641094,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_high,small,false,true,two_ratio_high,names_small,cubes_tiny,po_small,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_high,False
tc_public_3,dc2_fraig_cleanup,15,15,0,-0.066637,0.015969,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_30,dc2_fraig_cleanup,734,0,0,-0.173309,-0.288688,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:734,large|not_sop|near_aig|two_ratio_near_one,large,false,true,two_ratio_near_one,names_large,cubes_large,po_small,avoid large + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_4,dc2_fraig_cleanup,37,0,2,-0.089777,-0.386469,metric_regression,fallback_current_final,true,metric_regression: nodes_worse:37,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_5,dc2_fraig_cleanup,0,0,0,-0.095571,0.562469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_7,dc2_fraig_cleanup,0,0,0,-0.042295,0.007656,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_low,small,true,false,two_ratio_low,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,False
tc_public_8,dc2_fraig_cleanup,-1,-1,1,-0.064168,0.030875,ok,selected_raw,false,,small|high_sop|non_aig|two_ratio_mid,small,true,false,two_ratio_mid,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_9,dc2_fraig_cleanup,0,0,0,-0.048508,0.000406,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_mid,tiny,true,false,two_ratio_mid,names_tiny,cubes_tiny,po_medium,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_mid,False
tc_public_1,dc2_ifraig_cleanup,21,21,-1,-0.040983,-0.210812,ok,selected_raw,false,,tiny|high_sop|non_aig|two_ratio_low,tiny,true,false,two_ratio_low,names_tiny,cubes_tiny,po_small,avoid tiny + high_fanin_sop=true + near_two_input_aig=false + two_ratio_low,True
tc_public_10,dc2_ifraig_cleanup,0,0,0,-0.066978,0.539469,ok,selected_raw,false,,small|not_sop|near_aig|two_ratio_near_one,small,false,true,two_ratio_near_one,names_small,cubes_tiny,po_medium,avoid small + high_fanin_sop=false + near_two_input_aig=true + two_ratio_near_one,False
tc_public_12,dc2_ifraig_cleanup,-15,-15,1,-0.061674,-1.6955,ok,selected_raw,false,,medium|not_sop|non_aig|two_ratio_mid,medium,false,false,two_ratio_mid,names_medium,cubes_medium,po_large,avoid medium + high_fanin_sop=false + near_two_input_aig=false + two_ratio_mid,False
