case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
tc_public_24,data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_24\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_24\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_24\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.873594,0.981422,1.088265,14.461,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_24\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_25,data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_25\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_25\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_25\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.802701,0.948385,0.948259,9.219,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_25\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_26,data\tc_public\tc_public_26\input.blif,dc2_fast,dc2_fast@outputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_26\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_26\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_26\work\variants\outputs\baseline.blif,1046,10,1064,10,1046,10,1064,32,0,0,True,1.174424,1.525543,1.004427,17.914,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_26\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_27,data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_27\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_27\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_27\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.929922,1.05977,0.948402,15.125,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_27\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_28,data\tc_public\tc_public_28\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_28\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_28\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_28\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,1.032821,1.182905,0.936327,17.211,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_29,data\tc_public\tc_public_29\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_29\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_29\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_29\work\variants\clean\baseline.blif,109,7,110,7,109,7,121,8,0,0,True,0.890709,0.985639,0.98863,12.078,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_29\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_3,data\tc_public\tc_public_3\input.blif,sop_fx,sop_fx@outputs,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_3\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_3\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_3\work\variants\outputs\baseline.blif,108,8,157,11,108,8,208,13,0,0,True,0.715733,1.546318,0.966462,10.602,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_3\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_30,data\tc_public\tc_public_30\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_30\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_30\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_30\work\variants\both\baseline.blif,4806,21,7476,22,4806,21,14139,1036,0,0,True,6.732239,31.967791,1.092379,34.84,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_30\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_4,data\tc_public\tc_public_4\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_4\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_4\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_4\work\variants\clean\baseline.blif,69,8,115,9,69,8,145,12,0,0,True,0.711945,1.503964,0.934201,9.344,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_4\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_5,data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_5\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_5\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.806091,0.991663,1.068719,9.477,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_5\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_6,data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_6\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_6\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.742986,1.518678,0.982805,9.562,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_6\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_7,data\tc_public\tc_public_7\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_7\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_7\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_7\work\variants\clean\baseline.blif,252,3,252,3,252,3,252,3,0,0,True,0.730109,1.383325,0.985033,9.645,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_8,data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_8\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_8\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_8\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.748985,1.555652,0.938536,9.629,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_8\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_9,data\tc_public\tc_public_9\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_9\output.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_9\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_9\work\variants\clean\baseline.blif,224,5,224,5,224,5,224,5,0,0,True,0.762566,1.531521,0.984554,9.578,results_candidate\r8_order_choosebest_singlecase\public30\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0
