case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
hidden_11_p36lhxtfge,stress_data\r11s_random_case_names\cases\hidden_11_p36lhxtfge\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_11_p36lhxtfge\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_11_p36lhxtfge\work\variants\inputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_11_p36lhxtfge\work\variants\inputs\baseline.blif,5184,18,5403,18,5184,18,5478,18,0,0,True,43.882245,10.963002,1.064087,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_11_p36lhxtfge\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_12_v3vmpcf9wn,stress_data\r11s_random_case_names\cases\hidden_12_v3vmpcf9wn\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_12_v3vmpcf9wn\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_12_v3vmpcf9wn\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_12_v3vmpcf9wn\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.697632,1.450521,0.89976,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_12_v3vmpcf9wn\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_13_nvpxe0va8l,stress_data\r11s_random_case_names\cases\hidden_13_nvpxe0va8l\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_13_nvpxe0va8l\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_13_nvpxe0va8l\work\variants\inputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_13_nvpxe0va8l\work\variants\inputs\baseline.blif,5445,20,5667,20,5445,20,5742,20,0,0,True,49.282913,12.731226,1.048238,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_13_nvpxe0va8l\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_14_l4pil8hmdz,stress_data\r11s_random_case_names\cases\hidden_14_l4pil8hmdz\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_14_l4pil8hmdz\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_14_l4pil8hmdz\work\variants\inputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_14_l4pil8hmdz\work\variants\inputs\baseline.blif,5448,20,5688,20,5448,20,5763,20,0,0,True,50.574075,12.681635,1.041868,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_14_l4pil8hmdz\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_15_ljiepmx7sk,stress_data\r11s_random_case_names\cases\hidden_15_ljiepmx7sk\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_15_ljiepmx7sk\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_15_ljiepmx7sk\work\variants\both\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_15_ljiepmx7sk\work\variants\both\baseline.blif,10740,20,11274,20,10740,20,11367,20,0,0,True,83.296614,23.194566,1.252498,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_15_ljiepmx7sk\work\logs,both,"clean,inputs,outputs,both",0,0,0
hidden_16_jqmo6e00do,stress_data\r11s_random_case_names\cases\hidden_16_jqmo6e00do\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_16_jqmo6e00do\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_16_jqmo6e00do\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_16_jqmo6e00do\work\variants\clean\baseline.blif,1458,14,1530,16,1458,14,1530,263,0,0,True,27.298158,1.567912,0.972122,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_16_jqmo6e00do\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_17_2vze6wn7sr,stress_data\r11s_random_case_names\cases\hidden_17_2vze6wn7sr\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_17_2vze6wn7sr\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_17_2vze6wn7sr\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_17_2vze6wn7sr\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.855234,0.959154,0.941008,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_17_2vze6wn7sr\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_18_gnzqzd1g52,stress_data\r11s_random_case_names\cases\hidden_18_gnzqzd1g52\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_18_gnzqzd1g52\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_18_gnzqzd1g52\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_18_gnzqzd1g52\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.823862,0.878521,0.941232,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_18_gnzqzd1g52\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_19_iqa5ugok73,stress_data\r11s_random_case_names\cases\hidden_19_iqa5ugok73\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@outputs,r11_deepsyn_medium_small_pi_medium_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_19_iqa5ugok73\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_19_iqa5ugok73\work\variants\outputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_19_iqa5ugok73\work\variants\outputs\baseline.blif,1034,10,1064,10,1034,10,1064,32,0,0,True,21.977488,1.577121,0.989765,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_19_iqa5ugok73\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
hidden_20_fgt2466l38,stress_data\r11s_random_case_names\cases\hidden_20_fgt2466l38\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_20_fgt2466l38\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_20_fgt2466l38\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_20_fgt2466l38\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.942777,1.02029,0.965557,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_20_fgt2466l38\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_21_r0q38oa8dd,stress_data\r11s_random_case_names\cases\hidden_21_r0q38oa8dd\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_21_r0q38oa8dd\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_21_r0q38oa8dd\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_21_r0q38oa8dd\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,0.996033,1.082693,0.961023,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_21_r0q38oa8dd\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_22_bn6oeuo0u4,stress_data\r11s_random_case_names\cases\hidden_22_bn6oeuo0u4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_22_bn6oeuo0u4\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_22_bn6oeuo0u4\work\variants\inputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_22_bn6oeuo0u4\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,5.664416,0.89998,0.917795,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_22_bn6oeuo0u4\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_23_yhi1i3f4ep,stress_data\r11s_random_case_names\cases\hidden_23_yhi1i3f4ep\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_23_yhi1i3f4ep\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_23_yhi1i3f4ep\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_23_yhi1i3f4ep\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,12.66317,1.517534,0.943512,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_23_yhi1i3f4ep\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_24_vp31nyzbqp,stress_data\r11s_random_case_names\cases\hidden_24_vp31nyzbqp\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_large_low_pi_small_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_24_vp31nyzbqp\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_24_vp31nyzbqp\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_24_vp31nyzbqp\work\variants\clean\baseline.blif,2853,18,9418,22,2853,18,14139,1036,0,0,True,137.612049,35.023667,1.034601,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_24_vp31nyzbqp\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_25_mfebbk67ux,stress_data\r11s_random_case_names\cases\hidden_25_mfebbk67ux\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_25_mfebbk67ux\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_25_mfebbk67ux\work\variants\inputs\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_25_mfebbk67ux\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,6.88277,1.464607,0.90421,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_25_mfebbk67ux\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
hidden_26_1s7fh51q22,stress_data\r11s_random_case_names\cases\hidden_26_1s7fh51q22\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_26_1s7fh51q22\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_26_1s7fh51q22\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_26_1s7fh51q22\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.855147,0.900583,0.944541,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_26_1s7fh51q22\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_27_3itd49rpqp,stress_data\r11s_random_case_names\cases\hidden_27_3itd49rpqp\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_27_3itd49rpqp\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_27_3itd49rpqp\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_27_3itd49rpqp\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.674216,1.511789,0.942239,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_27_3itd49rpqp\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_28_qx5ci9xzzc,stress_data\r11s_random_case_names\cases\hidden_28_qx5ci9xzzc\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_28_qx5ci9xzzc\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_28_qx5ci9xzzc\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_28_qx5ci9xzzc\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,4.38974,1.51853,0.965058,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_28_qx5ci9xzzc\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_29_kw7f7yt4jr,stress_data\r11s_random_case_names\cases\hidden_29_kw7f7yt4jr\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_29_kw7f7yt4jr\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_29_kw7f7yt4jr\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_29_kw7f7yt4jr\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.671643,1.51311,0.945672,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_29_kw7f7yt4jr\work\logs,clean,"clean,inputs,outputs,both",0,0,0
hidden_30_da0bsj1gh4,stress_data\r11s_random_case_names\cases\hidden_30_da0bsj1gh4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,results_candidate\r11s_random_case_name_stress\public30\hidden_30_da0bsj1gh4\output.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_30_da0bsj1gh4\work\variants\clean\output.candidate.blif,results_candidate\r11s_random_case_name_stress\public30\hidden_30_da0bsj1gh4\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,5.648092,1.511316,0.965349,0.0,results_candidate\r11s_random_case_name_stress\public30\hidden_30_da0bsj1gh4\work\logs,clean,"clean,inputs,outputs,both",0,0,0
