phase,usage_note,family,pipeline_id,pipeline_hash,selector_eligible,offline_only,normalized_steps,timeout_profile,timeout_profile_override,case,scale_grade,final_nodes,final_levels,final_total_time_sec,final_peak_rss_mb,raw_nodes,raw_levels,raw_cec_status,raw_status,selected_nodes,selected_levels,selected_status,fallback_used,fallback_reason,metric_regression,metric_regression_reasons,raw_node_delta_vs_final,raw_level_delta_vs_final,selected_node_delta_vs_final,selected_level_delta_vs_final,opt_time,cec_time,stats_time,total_time,peak_RSS,runtime_ratio_vs_final,rss_ratio_vs_final,opt_returncode,cec_returncode,output_path,candidate_path,log_dir,cache_key
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_19,large,5304,18,1.905276,22.62890625,5304,18,passed,ok,5304,18,selected_raw,false,,false,,0,0,0,0,1.241395,0.462213,0.063496,1.767104,22.395,0.927479,0.989643,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_19\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_19\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_19\logs,934b2ea655098bb81e19bba94cd346f90bc9cd48f08c235cb868d389a43e5ebf
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_2,tiny,19,4,0.299974,10.2578125,19,4,passed,ok,19,4,selected_raw,false,,false,,0,0,0,0,0.086112,0.098279,0.062200,0.246591,10.238,0.822043,0.998096,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_2\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_2\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_2\logs,cda0f6a7e8b15aed68abc703c0b30fedab9e6461566c3365314d4a9e535d1982
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_20,large,5559,20,1.988655,23.0625,5559,20,passed,ok,5559,20,selected_raw,false,,false,,0,0,0,0,1.278914,0.489483,0.061144,1.829541,22.387,0.919989,0.970698,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_20\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_20\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_20\logs,a92be9e994070593a4074ce15ac8d48abdeb6b8da25e5ddf9513070309001949
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_21,large,5577,20,1.987602,23.2890625,5577,20,passed,ok,5577,20,selected_raw,false,,false,,0,0,0,0,1.290560,0.504595,0.064113,1.859268,23.035,0.935433,0.989098,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_21\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_21\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_21\logs,9032ecb2ff94372bdb80f00ee2a0934a59c4a0f47ea219c1b9021503cf91d88f
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_22,large,11067,20,3.665116,30.44140625,11067,20,passed,ok,11067,20,selected_raw,false,,false,,0,0,0,0,2.482400,0.916323,0.082451,3.481174,29.961,0.949813,0.984217,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_22\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_22\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_22\logs,f0493b02e292731e02de6542469c03d523ce125d8b54195aae869cf3a6d3fc6d
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_23,medium,1530,16,0.312543,12.61328125,1530,16,passed,ok,1530,16,selected_raw,false,,false,,0,0,0,0,0.118698,0.064570,0.062379,0.245647,12.137,0.785962,0.962217,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_23\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_23\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_23\logs,b5f70e8a8e1e4a1dc05b96089912a7807505f376d4d3180d9e11e27cfa9e87ca
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_24,small,215,8,0.272149,10.12890625,215,8,passed,ok,215,8,selected_raw,false,,false,,0,0,0,0,0.082179,0.062778,0.076778,0.221735,10.125,0.814755,0.999614,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_24\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_24\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_24\logs,acc345c94a478087fa7dcdc8f1caa0a59a25da4775dc8870b5ed54d254100eaf
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_25,small,26,4,0.268111,10.13671875,26,4,passed,ok,26,4,selected_raw,false,,false,,0,0,0,0,0.082149,0.060982,0.061960,0.205091,10.109,0.764948,0.997303,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_25\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_25\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_25\logs,618869820c0526e298b0d7fb5430e1d2eefa63a54b2ffcf9ea2dbb03231c1e20
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_26,medium,1048,10,0.337020,10.94140625,1048,10,passed,ok,1048,10,selected_raw,false,,false,,0,0,0,0,0.120921,0.087004,0.063061,0.270986,12.188,0.804064,1.113888,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_26\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_26\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_26\logs,5054a7d5a4b7b7f6c44b99841c5b72fa0fab99fed1dc07c819783c0427a75033
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_27,small,376,7,0.268204,10.40625,376,7,passed,ok,376,7,selected_raw,false,,false,,0,0,0,0,0.100957,0.063786,0.062292,0.227035,10.402,0.846502,0.999625,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_27\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_27\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_27\logs,2215f28ea6cf48e3e66d13305430e8eb5c372664fba3d3404ddc0a3e8020d21a
