case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
anon_011,data\tc_public_anon_r7b_stress\anon_011\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_011\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_011\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_011\work\variants\clean\baseline.blif,328,7,1064,6,328,7,1064,6,0,0,True,0.991696,1.208278,1.003789,17.844,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_011\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_012,data\tc_public_anon_r7b_stress\anon_012\input.blif,rewrite2,rewrite2@clean,medium_rewrite_cleanup,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_012\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_012\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_012\work\variants\clean\baseline.blif,1385,13,1407,13,1385,13,1482,15,0,0,True,1.114597,1.416337,1.035368,18.57,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_012\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_013,data\tc_public_anon_r7b_stress\anon_013\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_013\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_013\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_013\work\variants\clean\baseline.blif,1043,13,1130,14,1043,13,1284,17,0,0,True,1.385056,3.866292,0.986994,19.445,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_013\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_014,data\tc_public_anon_r7b_stress\anon_014\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_014\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_014\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_014\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.817174,2.436075,1.05225,52.195,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_014\work\logs,outputs,"clean,inputs,outputs,both",0,0
anon_015,data\tc_public_anon_r7b_stress\anon_015\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@clean,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_015\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_015\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_015\work\variants\clean\baseline.blif,922,11,928,10,922,11,931,12,0,0,True,1.361071,1.535439,0.993136,17.828,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_015\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_016,data\tc_public_anon_r7b_stress\anon_016\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_016\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_016\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_016\work\variants\clean\baseline.blif,45,6,45,6,45,6,45,6,0,0,True,0.813049,0.973814,0.972706,9.012,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_016\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_017,data\tc_public_anon_r7b_stress\anon_017\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_017\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_017\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_017\work\variants\clean\baseline.blif,93,6,93,6,93,6,93,6,0,0,True,0.818001,0.953063,0.968081,12.0,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_017\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_018,data\tc_public_anon_r7b_stress\anon_018\input.blif,dc2_fast,dc2_fast@inputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_018\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_018\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_018\work\variants\inputs\baseline.blif,495,12,522,12,495,12,525,12,0,0,True,4.511807,2.797176,0.989122,19.664,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_018\work\logs,inputs,"clean,inputs,outputs,both",0,0
anon_019,data\tc_public_anon_r7b_stress\anon_019\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_019\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_019\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_019\work\variants\both\baseline.blif,5268,18,5409,18,5268,18,5478,18,0,0,True,60.843224,16.42766,1.16249,28.031,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_019\work\logs,both,"clean,inputs,outputs,both",0,0
anon_020,data\tc_public_anon_r7b_stress\anon_020\input.blif,high_aig_three_round,high_aig_three_round@inputs,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_020\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_020\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_020\work\variants\inputs\baseline.blif,5523,20,5667,20,5523,20,5742,20,0,0,True,63.708078,17.34025,1.190381,28.25,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_020\work\logs,inputs,"clean,inputs,outputs,both",0,0
