case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_19,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_19\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_19\output.blif,results_candidate\r28_release_mt_full_public\tc_public_19\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_19\work\v5\work\variants\inputs\baseline.blif,5184,18,5403,18,5184,18,5478,18,0,0,True,5.134435,3.579538,0.505235,19.848,results_candidate\r28_release_mt_full_public\tc_public_19\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_2,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_2\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_2\output.blif,results_candidate\r28_release_mt_full_public\tc_public_2\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_2\work\v5\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.384856,0.788421,0.386587,7.465,results_candidate\r28_release_mt_full_public\tc_public_2\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_20,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_20\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_20\output.blif,results_candidate\r28_release_mt_full_public\tc_public_20\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_20\work\v5\work\variants\inputs\baseline.blif,5445,20,5667,20,5445,20,5742,20,0,0,True,5.689146,4.063318,0.515778,20.656,results_candidate\r28_release_mt_full_public\tc_public_20\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_21,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_21\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_21\output.blif,results_candidate\r28_release_mt_full_public\tc_public_21\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_21\work\v5\work\variants\inputs\baseline.blif,5448,20,5688,20,5448,20,5763,20,0,0,True,5.810324,4.045936,0.532146,20.52,results_candidate\r28_release_mt_full_public\tc_public_21\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_22,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_22\output.blif,results_candidate\r28_release_mt_full_public\tc_public_22\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_22\work\v5\work\variants\both\baseline.blif,10740,20,11274,20,10740,20,11367,20,0,0,True,9.547628,7.378428,0.60927,27.18,results_candidate\r28_release_mt_full_public\tc_public_22\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_23,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_23\output.blif,results_candidate\r28_release_mt_full_public\tc_public_23\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_23\work\v5\work\variants\inputs\baseline.blif,1318,13,1530,16,1318,13,1530,263,0,0,True,20.505702,0.599995,0.422282,13.762,results_candidate\r28_release_mt_full_public\tc_public_23\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_24,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_24\output.blif,results_candidate\r28_release_mt_full_public\tc_public_24\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_24\work\v5\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.385874,0.376844,0.374515,7.445,results_candidate\r28_release_mt_full_public\tc_public_24\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_25,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_25\output.blif,results_candidate\r28_release_mt_full_public\tc_public_25\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_25\work\v5\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.398271,0.364671,0.376275,7.434,results_candidate\r28_release_mt_full_public\tc_public_25\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_26,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_26\output.blif,results_candidate\r28_release_mt_full_public\tc_public_26\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_26\work\v5\work\variants\inputs\baseline.blif,450,10,1064,10,449,10,1064,32,0,0,True,0.863864,0.684182,0.481371,18.242,results_candidate\r28_release_mt_full_public\tc_public_26\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-1,0
tc_public_27,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_27\output.blif,results_candidate\r28_release_mt_full_public\tc_public_27\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_27\work\v5\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.398452,0.429031,0.384749,7.711,results_candidate\r28_release_mt_full_public\tc_public_27\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
