case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode
tc_public_26,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_26\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@outputs,r11_deepsyn_medium_small_pi_medium_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_26\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_26\work\variants\outputs\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_26\work\variants\outputs\baseline.blif,1034,10,1064,10,1034,10,1064,32,0,0,True,23.510935,1.543524,0.950868,21.355,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_26\work\logs,outputs,"clean,inputs,outputs,both",0,0,0
tc_public_27,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_27\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_27\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_27\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.923986,1.071478,0.958348,17.012,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_27\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_28,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_28\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_28\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_28\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_28\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,1.027347,1.149609,0.959941,14.992,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_29,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_29\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_29\work\variants\inputs\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_29\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,5.638119,0.944006,0.911697,20.695,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_29\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_3,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_3\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_3\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_3\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,12.718912,1.459941,0.954096,23.984,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_3\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_30,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_30\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_large_low_pi_small_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_30\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_30\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_30\work\variants\clean\baseline.blif,2853,18,9418,22,2853,18,14139,1036,0,0,True,149.898551,38.063842,0.962841,33.656,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_30\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_4,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_4\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_4\work\variants\inputs\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_4\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,6.849117,1.482508,0.902255,24.352,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_4\work\logs,inputs,"clean,inputs,outputs,both",0,0,0
tc_public_5,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_5\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_5\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.804423,0.875325,0.918848,10.414,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_5\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_6,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_6\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_6\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.706507,1.498798,0.924213,11.668,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_6\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_7,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_7\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_7\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_7\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_7\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,4.439194,1.50487,0.970993,21.059,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_8,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_8\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_8\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_8\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.68621,1.469663,0.910105,11.703,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_8\work\logs,clean,"clean,inputs,outputs,both",0,0,0
tc_public_9,C:\Users\yy257\cpipc_r9_large_smallpo\local_data\tc_public\tc_public_9\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_9\output.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_9\work\variants\clean\output.candidate.blif,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_9\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,5.61149,1.476583,0.92216,21.027,scratch\r22_r11s_external_cases_dryrun\results\final_public\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0,0
