case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_5,data\tc_public\tc_public_5\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_5\output.blif,results\portfolio\baseline\tc_public_5\output.candidate.blif,results\baseline\tc_public_5\output.blif,66,2,66,2,66,2,128,2,0,0,True,0.08532169996760786,0.06333489995449781,0.13034159992821515,10.45703125,results\portfolio\baseline\tc_public_5\logs
tc_public_6,data\tc_public\tc_public_6\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_6\output.blif,results\portfolio\baseline\tc_public_6\output.candidate.blif,results\baseline\tc_public_6\output.blif,162,4,162,4,162,4,256,5,0,0,True,0.08475579996593297,0.09023969992995262,0.12940040009561926,10.625,results\portfolio\baseline\tc_public_6\logs
tc_public_7,data\tc_public\tc_public_7\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_7\output.blif,results\portfolio\baseline\tc_public_7\output.candidate.blif,results\baseline\tc_public_7\output.blif,252,3,252,3,252,3,252,3,0,0,True,0.0823884999845177,0.10186769999563694,0.1133642999920994,10.73828125,results\portfolio\baseline\tc_public_7\logs
tc_public_8,data\tc_public\tc_public_8\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_8\output.blif,results\portfolio\baseline\tc_public_8\output.candidate.blif,results\baseline\tc_public_8\output.blif,193,3,193,3,193,3,193,3,0,0,True,0.08770319994073361,0.0833800999680534,0.14236240019090474,10.65625,results\portfolio\baseline\tc_public_8\logs
tc_public_9,data\tc_public\tc_public_9\input.blif,baseline,baseline,selected_candidate,,results\portfolio\baseline\tc_public_9\output.blif,results\portfolio\baseline\tc_public_9\output.candidate.blif,results\baseline\tc_public_9\output.blif,224,5,224,5,224,5,224,5,0,0,True,0.08740389999002218,0.08495039993431419,0.12976139993406832,10.59765625,results\portfolio\baseline\tc_public_9\logs
tc_public_1,data\tc_public\tc_public_1\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_1\output.blif,results\portfolio\aig_fast\tc_public_1\output.candidate.blif,results\baseline\tc_public_1\output.blif,142,8,142,8,142,8,207,13,0,0,True,0.10246770002413541,0.08640700008254498,0.11631359998136759,10.38671875,results\portfolio\aig_fast\tc_public_1\logs
tc_public_10,data\tc_public\tc_public_10\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_10\output.blif,results\portfolio\aig_fast\tc_public_10\output.candidate.blif,results\baseline\tc_public_10\output.blif,161,4,161,4,161,4,192,5,0,0,True,0.08527539996430278,0.06519079999998212,0.13042160007171333,10.4765625,results\portfolio\aig_fast\tc_public_10\logs
tc_public_11,data\tc_public\tc_public_11\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_11\output.blif,results\portfolio\aig_fast\tc_public_11\output.candidate.blif,results\baseline\tc_public_11\output.blif,1064,6,1064,6,1064,6,1064,6,0,0,True,0.0842862999998033,0.08854190004058182,0.1320362000260502,12.6875,results\portfolio\aig_fast\tc_public_11\logs
tc_public_12,data\tc_public\tc_public_12\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_12\output.blif,results\portfolio\aig_fast\tc_public_12\output.candidate.blif,results\baseline\tc_public_12\output.blif,1413,13,1407,13,1407,13,1482,15,0,0,True,0.10132889996748418,0.09238990000449121,0.17295889998786151,10.609375,results\portfolio\aig_fast\tc_public_12\logs
tc_public_13,data\tc_public\tc_public_13\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_13\output.blif,results\portfolio\aig_fast\tc_public_13\output.candidate.blif,results\baseline\tc_public_13\output.blif,1132,13,1130,14,1130,14,1284,17,0,0,True,0.1050728999543935,0.17788149998523295,0.148206599871628,15.93359375,results\portfolio\aig_fast\tc_public_13\logs
