case,candidate,decision,source_status,baseline_nodes,baseline_levels,selected_nodes,selected_levels,node_delta,level_delta,candidate_output,final_output,cec_pass_in_matrix,postpass_opt_runtime_sec,postpass_cec_runtime_sec,postpass_stats_runtime_sec,postpass_peak_mem_mb
tc_public_26,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,449,10,449,10,0,0,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_26\output.blif,True,0.365418,0.067131,0.036066,10.16
tc_public_27,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,376,7,376,7,0,0,submit\results\final_public\tc_public_27\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_27\output.blif,True,0.305578,0.051036,0.037393,8.855
tc_public_28,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,258,8,258,8,0,0,submit\results\final_public\tc_public_28\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_28\output.blif,True,0.256943,0.052695,0.039178,8.852
tc_public_29,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,97,6,97,6,0,0,submit\results\final_public\tc_public_29\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_29\output.blif,True,0.155961,0.038914,0.037376,8.66
tc_public_3,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,94,8,94,8,0,0,submit\results\final_public\tc_public_3\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_3\output.blif,True,0.15166,0.102928,0.036139,8.699
tc_public_30,r29_mfs_strash_dc2_rwz_bal,baseline,level_regression,392,12,392,12,0,0,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_30\output.blif,True,0.509049,1.827647,0.035868,26.965
tc_public_4,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,61,8,61,8,0,0,submit\results\final_public\tc_public_4\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_4\output.blif,True,0.13866,0.082766,0.038255,8.605
tc_public_5,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,65,2,65,2,0,0,submit\results\final_public\tc_public_5\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_5\output.blif,True,0.120533,0.050996,0.039267,8.195
tc_public_6,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,162,4,162,4,0,0,submit\results\final_public\tc_public_6\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_6\output.blif,True,0.187649,0.101047,0.038731,8.82
tc_public_7,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,191,3,191,3,0,0,submit\results\final_public\tc_public_7\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_7\output.blif,True,0.199811,0.098134,0.035664,8.77
tc_public_8,r29_mfs_strash_dc2_rwz_bal,baseline,level_regression,193,3,193,3,0,0,submit\results\final_public\tc_public_8\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_8\output.blif,True,0.201365,0.097892,0.03857,8.793
tc_public_9,r29_mfs_strash_dc2_rwz_bal,baseline,no_node_gain,194,4,194,4,0,0,submit\results\final_public\tc_public_9\output.blif,results_research\R29_postpass_matrix_v6\guarded_r29_mfs_strash_dc2_rwz_full_public\tc_public_9\output.blif,True,0.201237,0.111828,0.038111,8.789
