case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_14,r29_mfs_strash_dc2_bal,mfs; strash; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.854866,0.107974,0.04008,15.402,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_14
tc_public_14,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.886014,0.110796,0.037499,15.457,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_14
tc_public_14,r29_mfs_fraig_bal,mfs; fraig; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2055,14,-18,-1,accepted,True,0,False,False,0,1.787731,0.110087,0.05125,15.391,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_14
tc_public_14,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.733674,0.103972,0.050725,15.57,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_14
tc_public_14,r29_fraig_mfs_dc2_bal,fraig; mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,0,0,,,opt_failed,False,0,False,True,,0.058977,0.0,0.0,1.898,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_14
tc_public_14,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.924874,0.112255,0.050003,15.441,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_14
tc_public_15,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.071871,0.09192,0.041208,8.18,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_15
tc_public_15,r29_mfs_dc2_bal,mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,0,0,,,opt_failed,False,0,False,True,,0.690775,0.0,0.0,9.582,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_15
tc_public_15,r29_mfs_strash_dc2_bal,mfs; strash; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.712377,0.073438,0.039074,11.895,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_15
tc_public_15,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.708484,0.06934,0.03664,10.078,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_15
